"Viaur","Viaur"
"Cernon","Cernon"
"Dourdou","Dourdou"
"Sorgues","Sorgues"
"Rance","Rance"
"Agout","Agout"
"Gijou","Gijou"
"Thoré","Thoré"
"Sor","Sor"
"Cérou","Cérou"
"Baillaury","Baillaury"
"Massane","Massane"
"Canterrane","Canterrane"
"Réart","Réart"
"Têt","Têt"
"Têt [partielle]","Têt [partielle]"
"Fresquel","Fresquel"
"Aude","Aude"
"Dourdou [du Tarn]","Dourdou [du Tarn]"
"Orbieu","Orbieu"
"Agly","Agly"
"Berre","Berre"
"Touyre","Touyre"
"Dadou","Dadou"
"Ample","Ample"
"Desix","Desix"
"Bolès [Boulès]","Bolès [Boulès]"
"Verdouble","Verdouble"
"Lentilla [partielle]","Lentilla [partielle]"
"Cesse","Cesse"
"Argent-Double","Argent-Double"
"Lampy","Lampy"
"Orbiel","Orbiel"
"Lauquet","Lauquet"
"Sou","Sou"
"Sals","Sals"
"Peyne","Peyne"
"Lergue","Lergue"
"Jaur","Jaur"
"Boulzane","Boulzane"
"Bourbeuse","Bourbeuse"
"Traubach","Traubach"
"Moder","Moder"
"Rhin","Rhin"
"Sauer","Sauer"
"Largue","Largue"
"Ehn","Ehn"
"Falkensteinbach","Falkensteinbach"
"Lanterne","Lanterne"
"Lauter","Lauter"
"Savoureuse","Savoureuse"
"Rosemontoise","Rosemontoise"
"Durgeon","Durgeon"
"Rhôme","Rhôme"
"Gland","Gland"
"Doubs","Doubs"
"Feschotte","Feschotte"
"Allan","Allan"
"Rahin","Rahin"
"Colombine","Colombine"
"Rupt","Rupt"
"Thalbach","Thalbach"
"Augraben","Augraben"
"Bâtard","Bâtard"
"Gourgeonne","Gourgeonne"
"Scey","Scey"
"Lizaine","Lizaine"
"Eberbach","Eberbach"
"Seltzbach","Seltzbach"
"Garonne","Garonne"
"Taurion","Taurion"
"Briance","Briance"
"Neste","Neste"
"Neste du Louron","Neste du Louron"
"Garonne [partielle]","Garonne [partielle]"
"Ger","Ger"
"Salat","Salat"
"Arac","Arac"
"Arize","Arize"
"Vicdessos","Vicdessos"
"Lèze","Lèze"
"Aveyron","Aveyron"
"Bouès","Bouès"
"Isle","Isle"
"Adour","Adour"
"Lées","Lées"
"Loyre","Loyre"
"Côle","Côle"
"Dronne","Dronne"
"Midouze [Le Midou]","Midouze [Le Midou]"
"Vézère","Vézère"
"Nivelle","Nivelle"
"Gave de Pau","Gave de Pau"
"Antenne","Antenne"
"Seugne","Seugne"
"bras de la Seugne","bras de la Seugne"
"Seudre","Seudre"
"Gave de Pau [Les Gaves réunis]","Gave de Pau [Les Gaves réunis]"
"Pique","Pique"
"Bandiat","Bandiat"
"Douze","Douze"
"Arros","Arros"
"Osse","Osse"
"Baïse","Baïse"
"Gave d'Aspe","Gave d'Aspe"
"Bidouze","Bidouze"
"Né","Né"
"Garonne [La Gironde]","Garonne [La Gironde]"
"bras de la Dronne","bras de la Dronne"
"Roseix","Roseix"
"Tude","Tude"
"Saison","Saison"
"Gave d'Oloron [Gave d'Ossau]","Gave d'Oloron [Gave d'Ossau]"
"Loue","Loue"
"Luy","Luy"
"Ouzom","Ouzom"
"Dordogne","Dordogne"
"Nive","Nive"
"Gave d'Oloron","Gave d'Oloron"
"bras de la Gimone","bras de la Gimone"
"Save","Save"
"Gers","Gers"
"Touch","Touch"
"Galage [L'Aiguebelle]","Galage [L'Aiguebelle]"
"Gimone","Gimone"
"Gesse","Gesse"
"Sousson","Sousson"
"Auzoue","Auzoue"
"Hers","Hers"
"Auloue","Auloue"
"Gélise","Gélise"
"Midouze","Midouze"
"Tardoire","Tardoire"
"Nive des Aldudes","Nive des Aldudes"
"Louts","Louts"
"Céou","Céou"
"Arrats","Arrats"
"Echez","Echez"
"canal du Moulin [L'Echez]","canal du Moulin [L'Echez]"
"Auvézère","Auvézère"
"Trottebec","Trottebec"
"Yères","Yères"
"Saâne","Saâne"
"Cailly","Cailly"
"Austreberthe","Austreberthe"
"Lézarde","Lézarde"
"Durdent","Durdent"
"Béthune","Béthune"
"Eaulne","Eaulne"
"Valmont","Valmont"
"Ganzeville","Ganzeville"
"Dun","Dun"
"Commerce","Commerce"
"lac du Bourget","lac du Bourget"
"Barbenan","Barbenan"
"Vouzance","Vouzance"
"Bienne","Bienne"
"Ain","Ain"
"Chalaronne","Chalaronne"
"Brévenne","Brévenne"
"Arve","Arve"
"Usses","Usses"
"Groin","Groin"
"Furans","Furans"
"Tacon","Tacon"
"Toison","Toison"
"Sereine","Sereine"
"Solnan","Solnan"
"Vallière","Vallière"
"Reyssouze","Reyssouze"
"Azergues","Azergues"
"Valserine","Valserine"
"Cuisance","Cuisance"
"Cure","Cure"
"Cousin","Cousin"
"Serein","Serein"
"Oze","Oze"
"Jauron","Jauron"
